lambda_A,lambda_A_err,I_ua_A,I_ua_err_A,lambda_nm,lambda_nm_err,J_A,J_err_A
3843,5,0.00385,1e-05,384.3,0.5,0.00385,1e-05
3941,5,0.00615,1e-05,394.1,0.5,0.00615,1e-05
4039,5,0.01,1e-05,403.9,0.5,0.01,1e-05
4137,5,0.0138,1e-05,413.7,0.5,0.0138,1e-05
4235,5,0.0192,1e-05,423.5,0.5,0.0192,1e-05
4333,5,0.0254,1e-05,433.3,0.5,0.0254,1e-05
4431,5,0.0338,1e-05,443.1,0.5,0.0338,1e-05
4529,5,0.0423,1e-05,452.9,0.5,0.0423,1e-05
4627,5,0.0515,1e-05,462.7,0.5,0.0515,1e-05
4725,5,0.0577,1e-05,472.5,0.5,0.0577,1e-05
4823,5,0.07,1e-05,482.3,0.5,0.07,1e-05
4921,5,0.0792,1e-05,492.1,0.5,0.0792,1e-05
5019,5,0.0908,1e-05,501.9,0.5,0.0908,1e-05
5117,5,0.105,1e-05,511.7,0.5,0.105,1e-05
5215,5,0.118,1e-05,521.5,0.5,0.118,1e-05
5313,5,0.135,1e-05,531.3,0.5,0.135,1e-05
5411,5,0.148,1e-05,541.1,0.5,0.148,1e-05
5509,5,0.168,1e-05,550.9,0.5,0.168,1e-05
5607,5,0.196,1e-05,560.7,0.5,0.196,1e-05
5705,5,0.205,1e-05,570.5,0.5,0.205,1e-05
5807,5,0.227,1e-05,580.7,0.5,0.227,1e-05
5909,5,0.277,1e-05,590.9,0.5,0.277,1e-05
6011,5,0.295,1e-05,601.1,0.5,0.295,1e-05
6113,5,0.298,1e-05,611.3,0.5,0.298,1e-05
6215,5,0.307,1e-05,621.5,0.5,0.307,1e-05
6317,5,0.318,1e-05,631.7,0.5,0.318,1e-05
6419,5,0.332,1e-05,641.9,0.5,0.332,1e-05
6521,5,0.342,1e-05,652.1,0.5,0.342,1e-05
6623,5,0.358,1e-05,662.3,0.5,0.358,1e-05
6725,5,0.371,1e-05,672.5,0.5,0.371,1e-05
6827,5,0.382,1e-05,682.7,0.5,0.382,1e-05
6929,5,0.392,1e-05,692.9,0.5,0.392,1e-05
7031,5,0.402,1e-05,703.1,0.5,0.402,1e-05
7133,5,0.408,1e-05,713.3,0.5,0.408,1e-05
7235,5,0.413,1e-05,723.5,0.5,0.413,1e-05
7337,5,0.416,1e-05,733.7,0.5,0.416,1e-05
7439,5,0.416,1e-05,743.9,0.5,0.416,1e-05
7541,5,0.412,1e-05,754.1,0.5,0.412,1e-05
7643,5,0.43,1e-05,764.3,0.5,0.43,1e-05
7745,5,0.491,1e-05,774.5,0.5,0.491,1e-05
7847,5,0.455,1e-05,784.7,0.5,0.455,1e-05
7949,5,0.416,1e-05,794.9,0.5,0.416,1e-05
8051,5,0.394,1e-05,805.1,0.5,0.394,1e-05
8153,5,0.383,1e-05,815.3,0.5,0.383,1e-05
8255,5,0.381,1e-05,825.5,0.5,0.381,1e-05
8357,5,0.386,1e-05,835.7,0.5,0.386,1e-05
8459,5,0.401,1e-05,845.9,0.5,0.401,1e-05
8561,5,0.425,1e-05,856.1,0.5,0.425,1e-05
8663,5,0.455,1e-05,866.3,0.5,0.455,1e-05
8765,5,0.494,1e-05,876.5,0.5,0.494,1e-05
8867,5,0.535,1e-05,886.7,0.5,0.535,1e-05
8969,5,0.579,1e-05,896.9,0.5,0.579,1e-05
9071,5,0.624,1e-05,907.1,0.5,0.624,1e-05
9122,5,0.638,1e-05,912.2,0.5,0.638,1e-05
9173,5,0.665,1e-05,917.3,0.5,0.665,1e-05
9224,5,0.686,1e-05,922.4,0.5,0.686,1e-05
9275,5,0.704,1e-05,927.5,0.5,0.704,1e-05
9326,5,0.721,1e-05,932.6,0.5,0.721,1e-05
9377,5,0.733,1e-05,937.7,0.5,0.733,1e-05
9428,5,0.746,1e-05,942.8,0.5,0.746,1e-05
9479,5,0.759,1e-05,947.9,0.5,0.759,1e-05
9530,5,0.769,1e-05,953.0,0.5,0.769,1e-05
9581,5,0.785,1e-05,958.1,0.5,0.785,1e-05
9632,5,0.868,1e-05,963.2,0.5,0.868,1e-05
9683,5,1.05,1e-05,968.3,0.5,1.05,1e-05
9734,5,1.3,1e-05,973.4,0.5,1.3,1e-05
9785,5,1.44,1e-05,978.5,0.5,1.44,1e-05
9836,5,1.37,1e-05,983.6,0.5,1.37,1e-05
9887,5,1.22,1e-05,988.7,0.5,1.22,1e-05
9938,5,1.08,1e-05,993.8,0.5,1.08,1e-05
9989,5,0.992,1e-05,998.9,0.5,0.992,1e-05
10040,5,0.927,1e-05,1004.0,0.5,0.927,1e-05
10091,5,0.875,1e-05,1009.1,0.5,0.875,1e-05
10142,5,0.828,1e-05,1014.2,0.5,0.828,1e-05
10193,5,0.781,1e-05,1019.3,0.5,0.781,1e-05
10244,5,0.733,1e-05,1024.4,0.5,0.733,1e-05
10295,5,0.685,1e-05,1029.5,0.5,0.685,1e-05
10346,5,0.631,1e-05,1034.6,0.5,0.631,1e-05
10397,5,0.575,1e-05,1039.7,0.5,0.575,1e-05
10448,5,0.521,1e-05,1044.8,0.5,0.521,1e-05
10499,5,0.465,1e-05,1049.9,0.5,0.465,1e-05
10550,5,0.425,1e-05,1055.0,0.5,0.425,1e-05
10601,5,0.358,1e-05,1060.1,0.5,0.358,1e-05
10652,5,0.311,1e-05,1065.2,0.5,0.311,1e-05
10703,5,0.275,1e-05,1070.3,0.5,0.275,1e-05
10754,5,0.244,1e-05,1075.4,0.5,0.244,1e-05
10805,5,0.216,1e-05,1080.5,0.5,0.216,1e-05
10856,5,0.192,1e-05,1085.6,0.5,0.192,1e-05
10907,5,0.168,1e-05,1090.7,0.5,0.168,1e-05
10958,5,0.146,1e-05,1095.8,0.5,0.146,1e-05
11009,5,0.127,1e-05,1100.9,0.5,0.127,1e-05
11060,5,0.112,1e-05,1106.0,0.5,0.112,1e-05
11111,5,0.0962,1e-05,1111.1,0.5,0.0962,1e-05
11162,5,0.0823,1e-05,1116.2,0.5,0.0823,1e-05
11213,5,0.0692,1e-05,1121.3,0.5,0.0692,1e-05
11264,5,0.0592,1e-05,1126.4,0.5,0.0592,1e-05
11315,5,0.0485,1e-05,1131.5,0.5,0.0485,1e-05
11366,5,0.04,1e-05,1136.6,0.5,0.04,1e-05
11417,5,0.0323,1e-05,1141.7,0.5,0.0323,1e-05
11468,5,0.0262,1e-05,1146.8,0.5,0.0262,1e-05
11519,5,0.0192,1e-05,1151.9,0.5,0.0192,1e-05
11570,5,0.0138,1e-05,1157.0,0.5,0.0138,1e-05
11621,5,0.00923,1e-05,1162.1,0.5,0.00923,1e-05
11672,5,0.00538,1e-05,1167.2,0.5,0.00538,1e-05
11723,5,0.00231,1e-05,1172.3,0.5,0.00231,1e-05
