lambda_A,lambda_A_err,P_ua,P_ua_err,lambda_nm,lambda_nm_err
3843,5,0.1057692308,0.001,384.3,0.5
3941,5,0.1442307692,0.001,394.1,0.5
4039,5,0.1923076923,0.001,403.9,0.5
4137,5,0.2403846154,0.001,413.7,0.5
4235,5,0.3461538462,0.001,423.5,0.5
4333,5,0.3653846154,0.001,433.3,0.5
4431,5,0.4134615385,0.001,443.1,0.5
4529,5,0.4326923077,0.001,452.9,0.5
4627,5,0.4903846154,0.001,462.7,0.5
4725,5,0.5192307692,0.001,472.5,0.5
4823,5,0.5480769231,0.001,482.3,0.5
4921,5,0.6057692308,0.001,492.1,0.5
5019,5,0.6346153846,0.001,501.9,0.5
5117,5,0.6923076923,0.001,511.7,0.5
5215,5,0.7307692308,0.001,521.5,0.5
5313,5,0.7596153846,0.001,531.3,0.5
5411,5,0.7980769231,0.001,541.1,0.5
5509,5,0.8846153846,0.001,550.9,0.5
5607,5,0.9615384615,0.001,560.7,0.5
5705,5,1.0,0.001,570.5,0.5
5807,5,1.038461538,0.001,580.7,0.5
5909,5,1.173076923,0.001,590.9,0.5
6011,5,1.192307692,0.001,601.1,0.5
6113,5,1.153846154,0.001,611.3,0.5
6215,5,1.153846154,0.001,621.5,0.5
6317,5,1.134615385,0.001,631.7,0.5
6419,5,1.115384615,0.001,641.9,0.5
6521,5,1.153846154,0.001,652.1,0.5
6623,5,1.173076923,0.001,662.3,0.5
6725,5,1.134615385,0.001,672.5,0.5
6827,5,1.153846154,0.001,682.7,0.5
6929,5,1.153846154,0.001,692.9,0.5
7031,5,1.153846154,0.001,703.1,0.5
7133,5,1.153846154,0.001,713.3,0.5
7235,5,1.134615385,0.001,723.5,0.5
7337,5,1.096153846,0.001,733.7,0.5
7439,5,1.057692308,0.001,743.9,0.5
7541,5,1.038461538,0.001,754.1,0.5
7643,5,1.057692308,0.001,764.3,0.5
7745,5,1.173076923,0.001,774.5,0.5
7847,5,1.057692308,0.001,784.7,0.5
7949,5,0.9615384615,0.001,794.9,0.5
8051,5,0.8942307692,0.001,805.1,0.5
8153,5,0.8653846154,0.001,815.3,0.5
8255,5,0.8461538462,0.001,825.5,0.5
8357,5,0.8076923077,0.001,835.7,0.5
8459,5,0.8653846154,0.001,845.9,0.5
8561,5,0.8846153846,0.001,856.1,0.5
8663,5,0.9230769231,0.001,866.3,0.5
8765,5,0.9807692308,0.001,876.5,0.5
8867,5,1.057692308,0.001,886.7,0.5
8969,5,1.153846154,0.001,896.9,0.5
9071,5,1.201923077,0.001,907.1,0.5
9122,5,1.230769231,0.001,912.2,0.5
9173,5,1.25,0.001,917.3,0.5
9224,5,1.326923077,0.001,922.4,0.5
9275,5,1.307692308,0.001,927.5,0.5
9326,5,1.346153846,0.001,932.6,0.5
9377,5,1.365384615,0.001,937.7,0.5
9428,5,1.346153846,0.001,942.8,0.5
9479,5,1.384615385,0.001,947.9,0.5
9530,5,1.403846154,0.001,953.0,0.5
9581,5,1.413461538,0.001,958.1,0.5
9632,5,1.557692308,0.001,963.2,0.5
9683,5,1.884615385,0.001,968.3,0.5
9734,5,2.326923077,0.001,973.4,0.5
9785,5,2.576923077,0.001,978.5,0.5
9836,5,2.442307692,0.001,983.6,0.5
9887,5,2.173076923,0.001,988.7,0.5
9938,5,1.980769231,0.001,993.8,0.5
9989,5,1.846153846,0.001,998.9,0.5
10040,5,1.769230769,0.001,1004.0,0.5
10091,5,1.692307692,0.001,1009.1,0.5
10142,5,1.653846154,0.001,1014.2,0.5
10193,5,1.634615385,0.001,1019.3,0.5
10244,5,1.615384615,0.001,1024.4,0.5
10295,5,1.596153846,0.001,1029.5,0.5
10346,5,1.576923077,0.001,1034.6,0.5
10397,5,1.567307692,0.001,1039.7,0.5
10448,5,1.557692308,0.001,1044.8,0.5
10499,5,1.538461538,0.001,1049.9,0.5
10550,5,1.557692308,0.001,1055.0,0.5
10601,5,1.519230769,0.001,1060.1,0.5
10652,5,1.490384615,0.001,1065.2,0.5
10703,5,1.5,0.001,1070.3,0.5
10754,5,1.442307692,0.001,1075.4,0.5
10805,5,1.480769231,0.001,1080.5,0.5
10856,5,1.471153846,0.001,1085.6,0.5
10907,5,1.461538462,0.001,1090.7,0.5
10958,5,1.451923077,0.001,1095.8,0.5
11009,5,1.442307692,0.001,1100.9,0.5
11060,5,1.432692308,0.001,1106.0,0.5
11111,5,1.423076923,0.001,1111.1,0.5
11162,5,1.442307692,0.001,1116.2,0.5
11213,5,1.403846154,0.001,1121.3,0.5
11264,5,1.384615385,0.001,1126.4,0.5
11315,5,1.375,0.001,1131.5,0.5
11366,5,1.375,0.001,1136.6,0.5
11417,5,1.375,0.001,1141.7,0.5
11468,5,1.365384615,0.001,1146.8,0.5
11519,5,1.346153846,0.001,1151.9,0.5
11570,5,1.336538462,0.001,1157.0,0.5
11621,5,1.365384615,0.001,1162.1,0.5
11672,5,1.346153846,0.001,1167.2,0.5
11723,5,1.346153846,0.001,1172.3,0.5
