lambda_nm,J,P_ua_interp,rapporto_J_Pua,rapporto_err
384.3,0.00385,0.1057692308,0.03639999998941091,0.0003568962548367337
394.1,0.00615,0.1442307692,0.04264000000909653,0.000303658597849936
403.9,0.01,0.1923076923,0.05200000000208,0.0002753546077550091
413.7,0.0138,0.2403846154,0.057407999996325884,0.00024241339321864265
423.5,0.0192,0.3461538462,0.05546666665927111,0.00016282037933172547
433.3,0.0254,0.3653846154,0.06951578947075723,0.00019221216377008295
443.1,0.0338,0.4134615385,0.08174883720169777,0.000199191914940708
452.9,0.0423,0.4326923077,0.09775999999826204,0.00022711317932762437
462.7,0.0515,0.4903846154,0.10501960783984252,0.000215126314667854
472.5,0.0577,0.5192307692,0.11112592593251117,0.00021488510570422616
482.3,0.07,0.5480769231,0.1277192982402364,0.0002337448963899251
492.1,0.0792,0.6057692308,0.13074285713621625,0.00021645987094547536
501.9,0.0908,0.6346153846,0.14307878788225648,0.0002260074739003963
511.7,0.105,0.6923076923,0.15166666666835185,0.00021954974814118828
521.5,0.118,0.7307692308,0.1614736842037274,0.00022138731221273852
531.3,0.135,0.7596153846,0.1777215189909412,0.00023433258369739512
541.1,0.148,0.7980769231,0.18544578312716783,0.00023270339314033497
550.9,0.168,0.8846153846,0.1899130434815637,0.00021498172306332587
560.7,0.196,0.9615384615,0.2038400000081536,0.00021224854875395325
570.5,0.205,1.0,0.205,0.0002052437575177379
580.7,0.227,1.038461538,0.21859259268974487,0.00021071672002678045
590.9,0.277,1.173076923,0.23613114755646764,0.00020147255035406046
601.1,0.295,1.192307692,0.2474193549025598,0.0002076824297548278
611.3,0.298,1.153846154,0.2582666666322311,0.00022399883344697457
621.5,0.307,1.153846154,0.2660666666311911,0.00023075392002345124
631.7,0.318,1.134615385,0.2802711863456708,0.00024717585532293176
641.9,0.332,1.115384615,0.29765517251643286,0.0002670138181480996
652.1,0.342,1.153846154,0.29639999996048,0.00025702615718229505
662.3,0.358,1.173076923,0.3051803278888643,0.0002602933494865428
672.5,0.371,1.134615385,0.3269830507366159,0.00028832319079050313
682.7,0.382,1.153846154,0.33106666662252443,0.00028705530457899075
692.9,0.392,1.153846154,0.33973333328803557,0.00029456307888152557
703.1,0.402,1.153846154,0.3483999999535467,0.00030207101908918255
713.3,0.408,1.153846154,0.3535999999528533,0.0003065758577776712
723.5,0.413,1.134615385,0.36399999987661014,0.0003209346016452388
733.7,0.416,1.096153846,0.3795087719830889,0.00034633870032737987
743.9,0.416,1.057692308,0.3933090907946737,0.0003719760404417615
754.1,0.412,1.038461538,0.39674074091706996,0.0003821679795256294
764.3,0.43,1.057692308,0.40654545442718676,0.00038448650919705823
774.5,0.491,1.173076923,0.4185573770766267,0.00035690482845662325
784.7,0.455,1.057692308,0.4301818180566744,0.00040682723040367586
794.9,0.416,0.9615384615,0.43264000001730557,0.000450065776294711
805.1,0.394,0.8942307692,0.44060215055279495,0.0004928432706457612
815.3,0.383,0.8653846154,0.44257777776990975,0.0005115537415032953
825.5,0.381,0.8461538462,0.45027272724816697,0.0005322717132274492
835.7,0.386,0.8076923077,0.4779047619002104,0.0005918211294690968
845.9,0.401,0.8653846154,0.46337777776954,0.000535583439178128
856.1,0.425,0.8846153846,0.480434782617051,0.000543217823373962
866.3,0.455,0.9230769231,0.49291666665434375,0.0005341029343339625
876.5,0.494,0.9807692308,0.5036862744940019,0.0005136636805415709
886.7,0.535,1.057692308,0.5058181816710348,0.0004783215477089908
896.9,0.579,1.153846154,0.5017999999330933,0.0004349796804311649
907.1,0.624,1.201923077,0.5191679999667732,0.0004320278967191506
912.2,0.638,1.230769231,0.5183749999028047,0.00042125804995813267
917.3,0.665,1.25,0.532,0.0004256751813296143
922.4,0.686,1.326923077,0.5169855072164067,0.0003896851457665186
927.5,0.704,1.307692308,0.5383529410497992,0.0004117526773078815
932.6,0.721,1.346153846,0.5356000000612114,0.0003979436278903114
937.7,0.733,1.365384615,0.5368450705737592,0.00039325051222765427
942.8,0.746,1.346153846,0.5541714286347624,0.0004117372228491956
947.9,0.759,1.384615385,0.5481666665143982,0.00039596401860116136
953.0,0.769,1.403846154,0.5477808218577774,0.00039026505153458486
958.1,0.785,1.413461538,0.5553741498412107,0.0003929814551080996
963.2,0.868,1.557692308,0.5572345677911635,0.00035778843262260646
968.3,1.05,1.884615385,0.5571428570291546,0.00029567443724981096
973.4,1.3,2.326923077,0.5586776859319446,0.00024013134827234898
978.5,1.44,2.576923077,0.5588059701325729,0.00021688479739821197
983.6,1.37,2.442307692,0.560944881960434,0.00022971471286546276
988.7,1.22,2.173076923,0.561415929223413,0.0002583916734594494
993.8,1.08,1.980769231,0.5452427183830786,0.0002753144608757612
998.9,0.992,1.846153846,0.5373333333781111,0.0002911059544663652
1004.0,0.927,1.769230769,0.5239565218074727,0.0002962032709732303
1009.1,0.875,1.692307692,0.5170454546394628,0.00030558399712964497
1014.2,0.828,1.653846154,0.5006511627441255,0.000302779688129272
1019.3,0.781,1.634615385,0.4777882351816969,0.0002923579925781643
1024.4,0.733,1.615384615,0.45376190486994333,0.00028096843143487197
1029.5,0.685,1.596153846,0.4291566265473886,0.00026894219463411475
1034.6,0.631,1.576923077,0.4001463414438953,0.00025383056539870786
1039.7,0.575,1.567307692,0.36687116571619555,0.0002341642486091309
1044.8,0.521,1.557692308,0.3344691357364012,0.00021481687445589831
1049.9,0.465,1.538461538,0.30225000009067504,0.00019656999759015204
1055.0,0.425,1.557692308,0.27283950611894525,0.00017527383369121563
1060.1,0.358,1.519230769,0.2356455696560474,0.00015524807823447646
1065.2,0.311,1.490384615,0.20867096779578606,0.00014017216761051085
1070.3,0.275,1.5,0.18333333333333335,0.00012240390536818145
1075.4,0.244,1.442307692,0.16917333336942364,0.00011749825050460933
1080.5,0.216,1.480769231,0.14587012984739686,9.874090821052892e-05
1085.6,0.192,1.471153846,0.13050980393521672,8.897258203163583e-05
1090.7,0.168,1.461538462,0.11494736838475347,7.894525744263829e-05
1095.8,0.146,1.451923077,0.10055629138540098,6.959893646524966e-05
1100.9,0.127,1.442307692,0.08805333335211804,6.144275059822413e-05
1106.0,0.112,1.432692308,0.07817449662750615,5.500936641766065e-05
1111.1,0.0962,1.423076923,0.06760000000365406,4.801964049629233e-05
1116.2,0.0823,1.442307692,0.05706133334550642,4.016546343420573e-05
1121.3,0.0692,1.403846154,0.04929315067952952,3.5828187612040585e-05
1126.4,0.0592,1.384615385,0.04275555554367901,3.1712361882763004e-05
1131.5,0.0485,1.375,0.035272727272727275,2.666389804173685e-05
1136.6,0.04,1.375,0.02909090909090909,2.2372131326530426e-05
1141.7,0.0323,1.375,0.023490909090909094,1.856786966127079e-05
1146.8,0.0262,1.365384615,0.019188732399771476,1.5847623885111876e-05
1151.9,0.0192,1.346153846,0.014262857144487183,1.2939989197848734e-05
1157.0,0.0138,1.336538462,0.010325179852549578,1.0754581449281754e-05
1162.1,0.00923,1.365384615,0.006760000001904225,8.84038530591208e-06
1167.2,0.00538,1.346153846,0.00399657142902818,7.999870726126472e-06
1172.3,0.00231,1.346153846,0.0017160000001961143,7.537150843294881e-06
